env_id,actor_arch,critic_arch,tt_rank,total_timesteps,num_seeds,seeds,mean_episode_return_mean,mean_episode_return_std,last_episode_return_mean,last_episode_return_std,episodes_finished_mean,episodes_finished_std,critic_module_params_mean,critic_module_params_std,actor_module_params_mean,actor_module_params_std
CartPole-v1,mlp,hybrid,4,50000,5,"7,11,17,23,29",160.18360136822798,16.663679206938237,239.0,36.359317925395686,315.4,28.786107760515314,18032.0,0.0,8640.0,0.0
CartPole-v1,mlp,hybrid,8,50000,5,"7,11,17,23,29",152.2968089246593,5.624705373685398,283.4,130.6041346971833,329.2,12.512393855693642,20256.0,0.0,8640.0,0.0
CartPole-v1,mlp,hybrid,16,50000,5,"7,11,17,23,29",159.1158565208707,10.70233273446148,332.6,108.4630812765339,316.2,23.04256930118688,28544.0,0.0,8640.0,0.0
CartPole-v1,mlp,mlp,,50000,5,"7,11,17,23,29",136.57992134240845,7.120609264168486,252.2,99.01797816558364,367.8,20.133554082675023,8640.0,0.0,8640.0,0.0
CartPole-v1,mlp,tt,4,50000,5,"7,11,17,23,29",151.02118958790496,11.346875096697037,234.8,82.83815545990869,333.4,26.492263021493653,1136.0,0.0,8640.0,0.0
CartPole-v1,mlp,tt,8,50000,5,"7,11,17,23,29",153.5337414366209,10.297678908472838,235.0,60.22624012836929,327.2,21.7476435505091,3360.0,0.0,8640.0,0.0
CartPole-v1,mlp,tt,16,50000,5,"7,11,17,23,29",153.26487410506752,11.406313019546452,268.0,82.97469493767362,328.4,24.344198487524704,11648.0,0.0,8640.0,0.0
CartPole-v1,mlp,hybrid,4,100000,5,"7,11,17,23,29",204.7337221615003,19.080501038329846,499.4,1.2,491.6,44.00727212632022,18032.0,0.0,8640.0,0.0
CartPole-v1,mlp,hybrid,8,100000,5,"7,11,17,23,29",190.03099114532472,9.9952371562152,426.6,146.8,526.6,25.70291812226775,20256.0,0.0,8640.0,0.0
CartPole-v1,mlp,hybrid,16,100000,5,"7,11,17,23,29",214.24866654740666,13.19736622761717,489.0,22.0,468.2,29.42379989056478,28544.0,0.0,8640.0,0.0
CartPole-v1,mlp,mlp,,100000,5,"7,11,17,23,29",155.36810078652053,8.432059281953784,232.6,66.88676999227874,645.4,36.587429535292586,8640.0,0.0,8640.0,0.0
CartPole-v1,mlp,tt,4,100000,5,"7,11,17,23,29",176.70032203278956,10.198570151908118,217.6,71.0059152465483,567.8,33.37903533657017,1136.0,0.0,8640.0,0.0
CartPole-v1,mlp,tt,8,100000,5,"7,11,17,23,29",177.16488017450877,8.38124868211127,297.2,146.289302411352,565.0,28.326665882168342,3360.0,0.0,8640.0,0.0
CartPole-v1,mlp,tt,16,100000,5,"7,11,17,23,29",172.1972556442944,6.7743946559700055,247.4,31.85341425969907,581.2,23.506594819326764,11648.0,0.0,8640.0,0.0
