env_id,actor_arch,critic_arch,tt_rank,total_timesteps,num_seeds,seeds,mean_episode_return_mean,mean_episode_return_std,last_episode_return_mean,last_episode_return_std,episodes_finished_mean,episodes_finished_std,critic_module_params_mean,critic_module_params_std,actor_module_params_mean,actor_module_params_std
CartPole-v1,mlp,hybrid,4,50000,5,"7,11,17,23,29",162.10311717031584,16.445866141637747,402.2,119.41423700715087,311.6,28.993792439072195,18032.0,0.0,8640.0,0.0
CartPole-v1,mlp,hybrid,8,50000,5,"7,11,17,23,29",149.0240643100356,14.57348314863787,228.4,73.99891891102193,338.4,30.057278652599276,20256.0,0.0,8640.0,0.0
CartPole-v1,mlp,hybrid,16,50000,5,"7,11,17,23,29",156.96682911388584,17.513141532988186,306.0,149.6221908675314,322.6,31.09083466232452,28544.0,0.0,8640.0,0.0
CartPole-v1,mlp,mlp,,50000,5,"7,11,17,23,29",136.61065445953616,10.039973209858756,205.6,57.56943633561128,368.4,25.523322667709234,8640.0,0.0,8640.0,0.0
CartPole-v1,mlp,tt,4,50000,5,"7,11,17,23,29",149.178090491974,6.921195009944618,287.4,86.01767260278552,336.0,16.211107303327555,1136.0,0.0,8640.0,0.0
CartPole-v1,mlp,tt,8,50000,5,"7,11,17,23,29",152.56905103230372,10.624094425587625,163.0,29.610808837314796,329.8,23.335809392433767,3360.0,0.0,8640.0,0.0
CartPole-v1,mlp,tt,16,50000,5,"7,11,17,23,29",157.9095844575009,15.086707798019985,218.0,24.26520142096496,319.8,30.04263636900064,11648.0,0.0,8640.0,0.0
CartPole-v1,mlp,hybrid,4,100000,5,"7,11,17,23,29",204.08721454546364,16.158741627199756,432.0,83.43620317344265,492.0,40.52159917870962,18032.0,0.0,8640.0,0.0
CartPole-v1,mlp,hybrid,8,100000,5,"7,11,17,23,29",194.74152779058704,28.937800483946198,399.8,134.88128113270574,524.2,73.77370805375043,20256.0,0.0,8640.0,0.0
CartPole-v1,mlp,hybrid,16,100000,5,"7,11,17,23,29",211.186226593763,22.98997937358669,245.8,137.58110335362193,478.4,47.81045910676868,28544.0,0.0,8640.0,0.0
CartPole-v1,mlp,mlp,,100000,5,"7,11,17,23,29",159.6589598472486,10.67132347615333,234.6,115.33360308253619,629.0,41.308594747340415,8640.0,0.0,8640.0,0.0
CartPole-v1,mlp,tt,4,100000,5,"7,11,17,23,29",168.1640321859945,6.471767112141696,276.0,67.30824615156749,594.8,23.085926448812923,1136.0,0.0,8640.0,0.0
CartPole-v1,mlp,tt,8,100000,5,"7,11,17,23,29",179.12570577597788,11.39850543398852,206.0,43.39124335623491,560.2,36.58086931717178,3360.0,0.0,8640.0,0.0
CartPole-v1,mlp,tt,16,100000,5,"7,11,17,23,29",183.4696399332212,7.261791873622031,323.2,155.26416199496907,545.8,21.226398658274558,11648.0,0.0,8640.0,0.0
